Cuadricula;Peso;Fecha;f0;f1;f2;f3;x0;x1;x2;x3;phi_re_0_0;phi_im_0_0;phi_re_0_1;phi_im_0_1;phi_re_0_2;phi_im_0_2;phi_re_0_3;phi_im_0_3;phi_re_0_4;phi_im_0_4;phi_re_0_5;phi_im_0_5;phi_re_0_6;phi_im_0_6;phi_re_0_7;phi_im_0_7;phi_re_0_8;phi_im_0_8;phi_re_0_9;phi_im_0_9;phi_re_0_10;phi_im_0_10;phi_re_0_11;phi_im_0_11;phi_re_0_12;phi_im_0_12;phi_re_0_13;phi_im_0_13;phi_re_0_14;phi_im_0_14;phi_re_0_15;phi_im_0_15;phi_re_1_0;phi_im_1_0;phi_re_1_1;phi_im_1_1;phi_re_1_2;phi_im_1_2;phi_re_1_3;phi_im_1_3;phi_re_1_4;phi_im_1_4;phi_re_1_5;phi_im_1_5;phi_re_1_6;phi_im_1_6;phi_re_1_7;phi_im_1_7;phi_re_1_8;phi_im_1_8;phi_re_1_9;phi_im_1_9;phi_re_1_10;phi_im_1_10;phi_re_1_11;phi_im_1_11;phi_re_1_12;phi_im_1_12;phi_re_1_13;phi_im_1_13;phi_re_1_14;phi_im_1_14;phi_re_1_15;phi_im_1_15;phi_re_2_0;phi_im_2_0;phi_re_2_1;phi_im_2_1;phi_re_2_2;phi_im_2_2;phi_re_2_3;phi_im_2_3;phi_re_2_4;phi_im_2_4;phi_re_2_5;phi_im_2_5;phi_re_2_6;phi_im_2_6;phi_re_2_7;phi_im_2_7;phi_re_2_8;phi_im_2_8;phi_re_2_9;phi_im_2_9;phi_re_2_10;phi_im_2_10;phi_re_2_11;phi_im_2_11;phi_re_2_12;phi_im_2_12;phi_re_2_13;phi_im_2_13;phi_re_2_14;phi_im_2_14;phi_re_2_15;phi_im_2_15;phi_re_3_0;phi_im_3_0;phi_re_3_1;phi_im_3_1;phi_re_3_2;phi_im_3_2;phi_re_3_3;phi_im_3_3;phi_re_3_4;phi_im_3_4;phi_re_3_5;phi_im_3_5;phi_re_3_6;phi_im_3_6;phi_re_3_7;phi_im_3_7;phi_re_3_8;phi_im_3_8;phi_re_3_9;phi_im_3_9;phi_re_3_10;phi_im_3_10;phi_re_3_11;phi_im_3_11;phi_re_3_12;phi_im_3_12;phi_re_3_13;phi_im_3_13;phi_re_3_14;phi_im_3_14;phi_re_3_15;phi_im_3_15
0;0;04/01/2025  10:45;3,80101671;7,07143907;7,07143907;12,13881433;0,01177655;0,05360514;0,05360514;0,00420653;0,08071056;-0,28274934;0,10369763;-0,36786029;0,03369415;-0,11493922;0,06148501;-0,21148953;0,21998382;-0,76916741;0,27480512;-0,96149995;0,08167725;-0,28114645;0,15304482;-0,53499795;-0,02803746;0,10172197;-0,02850379;0,10463537;-0,02993012;0,10835724;-0,02217165;0,07731169;-0,06376918;0,22758643;-0,09494782;0,33420006;-0,08609622;0,30242693;-0,08225740;0,29292235;0,30432602;0,14379548;0,23892396;0,12734911;0,45776052;0,15193953;0,34074312;0,11405509;0,37897730;0,23869674;0,33610047;0,27774167;0,70449073;0,31062436;0,58968161;0,30058229;0,46200532;0,26797229;0,48271693;0,26665591;0,48397211;0,27556808;0,49091497;0,28726056;0,87659803;0,48122333;0,84784075;0,45396572;0,86444985;0,46704724;0,86112029;0,46361891;0,30432602;0,14379548;0,23892396;0,12734911;0,45776052;0,15193953;0,34074312;0,11405509;0,37897730;0,23869674;0,33610047;0,27774167;0,70449073;0,31062436;0,58968161;0,30058229;0,46200532;0,26797229;0,48271693;0,26665591;0,48397211;0,27556808;0,49091497;0,28726056;0,87659803;0,48122333;0,84784075;0,45396572;0,86444985;0,46704724;0,86112029;0,46361891;0,02547435;0,23330938;0,02816662;0,09388556;0,12295924;0,47338661;0,12040408;0,35965021;-0,05185075;-0,59763817;-0,14466355;-0,98948090;0,10752691;-0,00361385;0,01935735;-0,36574639;-0,12202837;-0,59603636;-0,08989219;-0,64757033;-0,11613475;-0,56799369;-0,12388229;-0,52006995;-0,07141664;-0,87545339;-0,05349218;-0,79051832;-0,05511407;-0,78425037;-0,07002632;-0,82969164
0;0;04/01/2025  11:00;3,79454950;6,20130237;8,54372702;13,38998828;0,01194020;0,03166055;0,00814330;0,00922950;0,07196130;-0,28525567;0,09249654;-0,37193658;0,02939656;-0,11610088;0,14453281;-0,16447533;0,26952796;-0,75208385;0,24667566;-0,96909810;0,07323704;-0,28334436;0,13771312;-0,54014317;-0,02583036;0,10283192;-0,02583078;0,10514537;-0,02706406;0,10985204;-0,05012218;0,06253618;-0,07558264;0,22482566;-0,08529667;0,33728495;-0,07744645;0,30454095;-0,07454826;0,29586839;0,24067515;-0,24373410;0,27309506;-0,26378111;0,22463787;-0,21847827;0,27124450;0,01156096;0,38614406;-0,30783672;0,40873159;-0,43949074;0,37980001;-0,37337710;0,39576974;-0,40549182;0,44401018;-0,48880233;0,46464921;-0,50224993;0,44266804;-0,49449605;0,68829715;-0,10354369;0,77950135;-0,62640055;0,65997844;-0,67634576;0,66155435;-0,68446893;0,67424345;-0,70411899;0,12402075;-0,13779307;-0,12920657;0,11311157;0,52434296;-0,62018223;0,42175047;0,04732825;-0,01875367;0,02357246;-0,32192912;0,38761360;0,65140162;-0,75873311;0,30973737;-0,36002466;-0,02776329;0,10225332;-0,05902362;0,11949202;0,01895313;0,05896989;-0,09215583;0,05444841;0,08969434;-0,09798286;0,10131132;-0,14920239;0,12202689;-0,17112599;0,07617408;-0,11738918;-0,50554858;-0,57145440;-0,66826490;-0,74392340;-0,18493325;-0,21674319;0,47296966;-0,30989545;0,12525644;0,30503133;0,25347449;0,29304268;0,10881507;0,11123043;0,16756414;0,18159983;0,19737909;0,22570462;0,20482599;0,23240951;0,21110801;0,23896991;-0,17413239;0,15528282;-0,05057082;-0,09858385;-0,10439102;-0,11198810;-0,09393259;-0,10208463;-0,09493349;-0,10035279
0;0;04/01/2025  11:15;3,80681996;6,84043070;6,84043070;12,13881966;0,01486067;0,04656393;0,04656393;0,00329307;0,07035303;-0,28369317;0,09174778;-0,37078279;0,02869791;-0,11602289;0,17983658;-0,12240410;0,27227211;-0,75071277;0,24953392;-0,96836606;0,07349364;-0,28335532;0,13811911;-0,53982110;-0,02389413;0,10192839;-0,02541338;0,10497768;-0,02631366;0,10950695;-0,06225740;0,04837336;-0,07810368;0,22203091;-0,08488588;0,33769391;-0,07666382;0,30418429;-0,07339734;0,29482443;0,20306675;-0,28623744;0,16137463;-0,17424671;0,34312155;-0,54852219;0,43307669;0,17576981;0,31121915;-0,32675536;0,20486619;-0,27969582;0,54300406;-0,82161448;0,42942643;-0,64632995;0,33064502;-0,44395965;0,34376107;-0,46472279;0,33993704;-0,47777650;0,51778896;0,11265644;0,72641395;-0,68186926;0,58899335;-0,77466274;0,60034330;-0,79974241;0,59054788;-0,78225587;0,20306675;-0,28623744;0,16137463;-0,17424671;0,34312155;-0,54852219;0,43307669;0,17576981;0,31121915;-0,32675536;0,20486619;-0,27969582;0,54300406;-0,82161448;0,42942643;-0,64632995;0,33064502;-0,44395965;0,34376107;-0,46472279;0,33993704;-0,47777650;0,51778896;0,11265644;0,72641395;-0,68186926;0,58899335;-0,77466274;0,60034330;-0,79974241;0,59054788;-0,78225587;-0,15679711;-0,03578808;-0,24191741;-0,31004413;0,09626370;0,34645331;-0,09712878;-0,08753986;0,13269595;-0,46022568;-0,11618337;-0,83649692;0,13364556;-0,00890302;0,04626201;-0,31515071;-0,11399141;-0,48827972;-0,08036763;-0,56416271;-0,09500016;-0,45748572;0,48364334;0,14491863;0,07170838;-0,99742564;-0,22243561;-0,91341757;-0,21659585;-0,89872226;-0,23574573;-0,95288913
0;0;04/01/2025  11:30;3,79923823;6,24981320;8,52601962;12,12835217;0,01184418;0,02553904;0,00796474;0,00115593;0,07069699;-0,28424562;0,09053524;-0,37034399;0,02900245;-0,11584287;0,20364557;-0,07740740;0,26900592;-0,75229357;0,24491218;-0,96954527;0,07258904;-0,28328943;0,13602955;-0,54015927;-0,02418871;0,10233418;-0,02621234;0,10463853;-0,02638293;0,10946449;-0,07402891;0,02879087;-0,07963445;0,22295673;-0,08466286;0,33724413;-0,07697067;0,30504029;-0,07403529;0,29584754;-0,26408748;0,29201001;-0,27790630;0,29963073;-0,21887230;0,25071632;-0,20340433;-0,18362757;-0,34964898;0,28440923;-0,37938542;0,41439045;-0,33868129;0,38815293;-0,36248752;0,40639890;-0,39336000;0,52173560;-0,39137803;0,52236610;-0,39624589;0,52453786;-0,52276802;-0,40803397;-0,73075171;0,68264334;-0,58025429;0,75468955;-0,59046799;0,75923568;-0,59587186;0,77378346;-0,17116384;-0,07201658;-0,15504751;0,24637175;-0,14610023;-0,75317162;0,38745889;0,15883418;0,03210257;0,01630450;0,07340318;0,48479524;-0,09897010;-0,99509041;-0,04500785;-0,47513212;0,07833462;0,09299339;0,07767956;0,07087047;0,07653290;0,02090344;-0,07421464;-0,02748460;0,00562231;-0,14346726;-0,02725122;-0,17659504;-0,02666707;-0,21244401;-0,02321911;-0,14532246;-0,22928744;-0,08188559;-0,21052541;0,04765499;-0,27325541;-0,37271632;0,21979287;0,20596325;0,06314908;0,58882273;0,40440330;0,91458076;-0,04736859;0,01834808;0,11677458;0,35745261;0,26973169;0,57992572;0,28318372;0,55712282;0,26543117;0,54684385;-0,28247303;-0,51847482;0,00347486;0,99017855;0,26827257;0,86571263;0,26371525;0,86138390;0,30171533;0,90884759
0;0;04/01/2025  11:45;3,79723566;6,21999604;8,54535443;13,40561349;0,01344311;0,02898034;0,00667909;0,01045830;0,07121638;-0,28422402;0,09227338;-0,37100319;0,02906099;-0,11622099;0,21325252;-0,03823723;0,27134915;-0,75139370;0,24897563;-0,96850975;0,07365481;-0,28336962;0,13773867;-0,53944869;-0,02559745;0,10294970;-0,02650574;0,10542774;-0,02730557;0,10974342;-0,07822734;0,01587699;-0,07989701;0,22310268;-0,08575169;0,33735374;-0,07844461;0,30465807;-0,07489974;0,29526376;-0,26361868;0,27514125;-0,30038581;0,29691059;-0,23484152;0,22987601;-0,12434280;-0,22808313;-0,40243444;0,28251307;-0,43650090;0,42032576;-0,38780176;0,36707179;-0,41158612;0,39415103;-0,42651990;0,48577713;-0,44760458;0,50080708;-0,43456793;0,48425910;-0,36001912;-0,57614358;-0,79258421;0,60976247;-0,64929407;0,69024178;-0,65671683;0,69919647;-0,65773240;0,70521727;-0,01355738;-0,15536964;-0,19776592;0,14898028;0,41263991;-0,66162417;0,01918093;0,44428479;-0,02681189;-0,00259963;-0,31421091;0,37849869;0,56254153;-0,82676903;0,25334366;-0,40919940;0,00113317;0,08136500;0,01188090;0,10132162;0,03919266;0,02641946;-0,06271614;-0,08993564;0,09243983;-0,08541498;0,09852284;-0,12661832;0,11611127;-0,14892308;0,07140042;-0,09761909;0,54862833;-0,53115669;0,71314399;-0,70101758;0,20842904;-0,19474634;-0,54179151;-0,06914233;-0,29896096;0,13937830;-0,28069534;0,26666234;-0,10653062;0,11419051;-0,17374725;0,17645551;-0,21559122;0,20713053;-0,22288981;0,21594844;-0,22879713;0,22195282;0,22458363;0,00953189;0,09705801;-0,04928933;0,10671467;-0,10830305;0,09688202;-0,09768513;0,09541383;-0,09818446
0;0;04/01/2025  12:00;3,79705381;6,28034430;8,72932728;12,18041433;0,01293117;0,02602957;0,00533057;0,00411186;-0,28773895;-0,05669161;-0,37551634;-0,07406535;-0,11763849;-0,02412237;-0,04936034;-0,21128976;-0,76482551;-0,23377669;-0,97962003;-0,20085963;-0,28694862;-0,06019387;-0,54622650;-0,11165449;0,10425897;0,01985872;0,10659167;0,02099338;0,11104950;0,02128175;0,01828296;0,07703866;0,22712810;0,06870729;0,34156454;0,06897267;0,30879274;0,06331290;0,29856898;0,05997350;0,22935905;-0,28173571;0,29174034;-0,30812465;0,15865928;-0,28418495;0,15729275;0,24338641;0,30320629;-0,26450893;0,35897112;-0,37260493;0,26733087;-0,42047478;0,30553733;-0,41610547;0,39296486;-0,48096167;0,42173142;-0,51146481;0,39134595;-0,49453165;0,34402420;0,55093790;0,77073283;-0,63715846;0,62818072;-0,72816737;0,63351832;-0,73190556;0,64637127;-0,74730873;0,02390018;-0,18461179;-0,19045178;0,06053579;0,42303265;-0,58385586;0,01598910;0,42329340;0,07090189;-0,06602854;-0,21992762;0,20418719;0,63501151;-0,77250267;0,33402464;-0,44223787;0,02831755;-0,00570798;0,00501772;0,01024088;0,06244524;-0,04893984;-0,01284161;-0,02776842;0,24038354;-0,24381454;0,19273563;-0,30880190;0,21371240;-0,32936863;0,17358133;-0,28611562;0,17518879;-0,13319907;0,16668509;-0,48886923;0,27814632;0,28544473;-0,28303907;-0,12348329;-0,14835737;-0,40421866;-0,46923188;-0,63952773;0,06723864;0,04176422;-0,13134575;-0,21544950;-0,35273233;-0,36939550;-0,32289066;-0,47376114;-0,34251663;-0,33410485;0,10278021;0,58220759;-0,03898111;-0,99923995;-0,29397341;-0,90166158;-0,27660597;-0,89362117;-0,31716060;-0,93058944
0;0;04/01/2025  12:15;3,80417475;6,25767062;9,65865414;12,14311931;0,01400675;0,03023297;0,00168922;0,00598793;0,07133282;-0,28443272;0,09225445;-0,37102587;0,02960232;-0,11588458;0,21265978;-0,03809483;0,27246067;-0,75015046;0,24966911;-0,96833121;0,07439068;-0,28335722;0,13894178;-0,53933690;-0,02482138;0,10238368;-0,02506252;0,10523337;-0,02643070;0,10953669;-0,07771341;0,01476122;-0,08015459;0,22259822;-0,08644169;0,33736355;-0,07755085;0,30509394;-0,07498174;0,29504515;-0,24018364;0,28769948;-0,28313691;0,24632905;-0,19649818;0,36317492;-0,16066084;-0,28318011;-0,34732694;0,28471062;-0,38152863;0,33829674;-0,32741894;0,52136955;-0,35118900;0,46977126;-0,43333440;0,49586748;-0,44476282;0,50551461;-0,43089923;0,50984522;-0,32983393;-0,57520024;-0,79452688;0,60722898;-0,65110234;0,68791132;-0,65725475;0,70050422;-0,66714413;0,70957746;-0,02777114;-0,13898027;-0,00986508;-0,15042172;-0,09154198;-0,03351275;0,21293816;0,10173312;0,46232553;-0,28754936;0,49649157;-0,52734061;0,28599254;-0,29333726;0,36923833;-0,38580966;0,17742091;-0,33886222;0,15647084;-0,30828221;0,16347474;-0,32751066;-0,12817544;0,26782201;0,77545834;-0,63139873;0,57145034;-0,74645117;0,58193013;-0,73571453;0,58856542;-0,76336838;-0,14732405;-0,24594574;-0,16395126;-0,08181152;-0,23400178;-0,44124972;0,01801857;0,37848677;0,01910319;0,61666333;0,35856295;0,93350555;-0,06522779;0,02471023;0,09049270;0,36419368;0,31140604;0,59389956;0,28035824;0,65050596;0,30104533;0,57114462;0,03892554;-0,65302498;-0,04684908;0,93330031;0,19687892;0,82426986;0,18611401;0,81293352;0,22361478;0,86342161
0;0;04/01/2025  12:30;3,79948753;6,25814701;8,65788117;12,12892475;0,01163443;0,03018016;0,00539329;0,00503650;-0,28883723;-0,05043018;-0,37677789;-0,06499841;-0,11853039;-0,02135860;-0,05345495;-0,21000228;-0,74469941;-0,28726166;-0,98434844;-0,17623322;-0,28938762;-0,05287468;-0,54845863;-0,09723295;0,10425657;0,01810334;0,10725605;0,01837332;0,11163350;0,01897670;0,01948759;0,07689206;0,22807999;0,06340211;0,34246142;0,06125149;0,30950344;0,05530228;0,30060228;0,05270223;-0,22720222;0,22951053;-0,28910593;0,23486106;-0,15198168;0,26812689;-0,16684650;-0,23543769;-0,37196067;0,20019613;-0,41033646;0,33038698;-0,28308867;0,41273049;-0,33537275;0,39310294;-0,43455036;0,47577307;-0,45394816;0,49827855;-0,43184024;0,48181844;-0,31165405;-0,57275698;-0,81131232;0,58461296;-0,67880041;0,68099746;-0,68422303;0,68851250;-0,70030906;0,69768974;0,03911945;-0,21080582;-0,12031132;0,04985027;0,38012341;-0,64751708;0,01139114;0,42842608;0,05054978;-0,04138378;-0,22171554;0,27082751;0,55551172;-0,83150871;0,27797557;-0,44745169;0,00563644;0,03730485;0,00423135;0,05208736;0,03768559;-0,01255441;-0,02038012;-0,04144319;0,21686344;-0,21181588;0,19183216;-0,26948658;0,20436380;-0,29722964;0,16826895;-0,24828206;-0,10900835;-0,38636225;-0,09935338;-0,25521131;-0,20028264;-0,47149416;-0,04996854;0,41384323;-0,19632960;0,59981316;0,31624416;0,94867783;-0,04660379;0,06064539;0,09146081;0,39537769;0,25437310;0,56772298;0,23879733;0,64470134;0,24657520;0,54403313;0,04300447;-0,63788111;0,00187041;0,84197952;0,22464233;0,72780778;0,22230523;0,72295485;0,24947921;0,76478960
0;0;04/01/2025  12:45;3,79938679;6,22885843;9,05100973;12,12795603;0,01143408;0,03039275;0,00682662;0,00551156;0,06332880;-0,28653568;0,08261105;-0,37329208;0,03720081;-0,11397058;0,21317841;-0,04400644;0,32013063;-0,73096306;0,22069860;-0,97534206;0,06557316;-0,28653361;0,12262317;-0,54433155;-0,02301707;0,10367842;-0,02342292;0,10613081;-0,02458474;0,11038518;-0,07809322;0,01559396;-0,07385853;0,22459339;-0,07630978;0,33982627;-0,06982112;0,30743934;-0,06675948;0,29763293;0,23975670;-0,26172088;0,29358126;-0,25963987;0,21560959;-0,27416996;0,16176538;0,25408810;0,39610358;-0,17186468;0,44630214;-0,30492035;0,29554398;-0,43820237;0,35724526;-0,39658278;0,43594552;-0,47700223;0,44646710;-0,49606675;0,43244378;-0,48448019;0,33461350;0,57060085;0,78689450;-0,61708755;0,65246114;-0,70846362;0,65521747;-0,70716513;0,66383055;-0,72574888;-0,22608261;0,07130820;0,00293188;0,08126289;-0,61463308;-0,12230245;0,34881057;-0,28273784;-0,19247705;-0,18792444;0,01895813;-0,05670718;-0,99063063;-0,13656852;-0,64356379;-0,10517724;-0,12401459;-0,04762474;-0,10366117;-0,04009195;-0,16421766;-0,04986314;0,10391782;0,03251947;-0,62412241;-0,29402951;-0,66354379;-0,14615096;-0,68418494;-0,15304396;-0,64540411;-0,15000316;0,10502999;0,23822495;0,04654231;0,04111140;0,14558234;0,46855716;-0,07374600;-0,31023286;0,09190535;-0,60601589;-0,48773929;-0,87298934;0,08919296;-0,05706963;-0,13256153;-0,36065734;-0,35923651;-0,51379344;-0,35103733;-0,60426255;-0,34142349;-0,49316714;0,06492071;0,64751995;-0,15090770;-0,96269198;-0,39008871;-0,80375896;-0,38840056;-0,80279760;-0,42488820;-0,83326941
0;0;04/01/2025  13:00;3,79385799;6,27348628;8,53395759;13,39610896;0,01513313;0,02425463;0,00649264;0,00904333;-0,06427039;0,28670559;-0,08450173;0,37324089;-0,03765931;0,11299765;-0,21312823;0,04336695;-0,32701028;0,72813141;-0,22891706;0,97344593;-0,06806166;0,28421081;-0,12784586;0,54225947;0,02262122;-0,10352781;0,02314361;-0,10651503;0,02488228;-0,11068305;0,07751188;-0,01617945;0,07511693;-0,22377294;0,07871282;-0,33928949;0,07141309;-0,30636149;0,06882359;-0,29737404;-0,23738209;0,28920848;-0,26174561;0,32828095;-0,25101440;0,21704082;-0,14501588;-0,22747693;-0,33031086;0,22960207;-0,31034925;0,38413221;-0,32332604;0,38376542;-0,32554062;0,39460839;-0,38294811;0,49799961;-0,40309387;0,51651410;-0,38389885;0,50263827;-0,36349858;-0,55165821;-0,74510610;0,66694595;-0,60832913;0,75239443;-0,61956489;0,75965537;-0,61736956;0,76905174;0,02549785;-0,14154968;-0,15744766;0,15391290;0,55446987;-0,53697915;-0,01719291;0,41213917;-0,01618899;-0,00776726;-0,31912647;0,35279348;0,58093310;-0,81395131;0,26164382;-0,40221843;-0,02534451;0,07667430;-0,00657685;0,08703045;0,01162565;0,02252458;-0,02566847;-0,06314720;0,09476593;-0,05978455;0,11225088;-0,10478903;0,12811742;-0,13240729;0,09061415;-0,07840557;-0,53116378;0,54765414;-0,69141116;0,72246150;-0,25603268;0,12225766;0,54619951;0,05167457;0,32644776;-0,04197702;0,27324486;-0,27411796;0,10306127;-0,11756908;0,16875210;-0,18118577;0,20987585;-0,21333142;0,21610873;-0,22199714;0,22227315;-0,22862538;-0,22674028;-0,02084098;-0,09670265;0,05260709;-0,10457663;0,11223520;-0,09507546;0,10077980;-0,09345599;0,10177944
