Cuadricula;Peso;Fecha;Sigma0;Sigma1;Sigma2;Sigma3;Sigma4;Sigma5;Sigma6;Sigma7;Sigma8;Sigma9;Sigma10;Sigma11;Sigma12;Sigma13;Sigma14;Sigma15;Sigma16;Sigma17;Sigma18;Sigma19;Sigma20;Sigma21;Sigma22;Sigma23
0;0;04/01/2025  10:45;0,02777137;0,01095496;0,03029484;0,03546761;0,01123134;0,01146036;0,01095565;0,01153787;0,01215735;0,02031541;0,00871909;0,01535172;0,01531473;0,00573801;0,00656454;0,01866386;0,00744015;0,00513404;0,00770916;0,00684209;0,00687151;0,01122535;0,00681102;0,00523836
0;0;04/01/2025  11:00;0,02805872;0,01106994;0,03137940;0,03580969;0,01135513;0,01173851;0,01100603;0,01164924;0,01237743;0,02050222;0,00881324;0,01592650;0,01540018;0,00570939;0,00723965;0,01873986;0,00743077;0,00489150;0,00770878;0,00681889;0,00736905;0,01130507;0,00679378;0,00585727
0;0;04/01/2025  11:15;0,02676003;0,01054148;0,02981287;0,03408441;0,01079933;0,01131496;0,01059436;0,01109090;0,01228845;0,01952182;0,00838777;0,01512587;0,01433789;0,00540337;0,00725341;0,01745032;0,00698648;0,00468903;0,00744983;0,00641897;0,00740333;0,01056661;0,00639772;0,00599662
0;0;04/01/2025  11:30;0,02779875;0,01095039;0,03121313;0,03550268;0,01123608;0,01161437;0,01092036;0,01154479;0,01235644;0,02031793;0,00872402;0,01584590;0,01511660;0,00565520;0,00717825;0,01839075;0,00732726;0,00467937;0,00767936;0,00673644;0,00726933;0,01111820;0,00671431;0,00597625
0;0;04/01/2025  11:45;0,02745220;0,01081189;0,03208429;0,03496537;0,01111195;0,01189741;0,01087149;0,01139090;0,01235520;0,02005288;0,00861851;0,01625571;0,01480063;0,00553055;0,00580591;0,01803578;0,00716595;0,00443256;0,00763495;0,00659167;0,00649572;0,01088738;0,00655135;0,00471173
0;0;04/01/2025  12:00;0,02823032;0,01109330;0,03062865;0,03602004;0,01139019;0,01148457;0,01113604;0,01168712;0,01210625;0,02064380;0,00881698;0,01553012;0,01510785;0,00556761;0,00705743;0,01838260;0,00728048;0,00467706;0,00765872;0,00667689;0,00725589;0,01108641;0,00664007;0,00582275
0;0;04/01/2025  12:15;0,02812146;0,01106666;0,03053435;0,03588463;0,01135658;0,01147194;0,01106256;0,01165776;0,01223451;0,02056027;0,00881297;0,01551498;0,01486209;0,00556593;0,00725777;0,01806374;0,00720972;0,00556451;0,00760121;0,00662439;0,00725064;0,01094115;0,00660741;0,00591575
0;0;04/01/2025  12:30;0,02730364;0,01074601;0,03077814;0,03478896;0,01103413;0,01156944;0,01076751;0,01131376;0,01226204;0,01991786;0,00855348;0,01557728;0,01505566;0,00559664;0,00744961;0,01834400;0,00727544;0,00534080;0,00766565;0,00668642;0,00748933;0,01105303;0,00665836;0,00609295
0;0;04/01/2025  12:45;0,02749012;0,01081496;0,03069662;0,03504159;0,01110212;0,01145314;0,01086732;0,01138943;0,01212933;0,02007633;0,00861807;0,01559621;0,01535584;0,00572257;0,00460060;0,01874351;0,00743860;0,00444724;0,00779696;0,00684150;0,00564494;0,01126744;0,00679996;0,00348602
0;0;04/01/2025  13:00;0,02854919;0,01123941;0,03097509;0,03647070;0,01154037;0,01153079;0,01120583;0,01185104;0,01216718;0,02088464;0,00895142;0,01567439;0,01501211;0,00558997;0,00699151;0,01820630;0,00727644;0,00465186;0,00774732;0,00667760;0,00717950;0,01107559;0,00665449;0,00580237
0;0;04/01/2025  13:15;0,02787214;0,01097693;0,03097614;0,03557227;0,01126576;0,01154190;0,01099269;0,01155611;0,01213785;0,02037136;0,00874433;0,01566591;0,01528010;0,00568827;0,00688044;0,01860199;0,00739345;0,00466817;0,00776119;0,00679162;0,00712638;0,01122644;0,00676148;0,00580138
0;0;04/01/2025  13:30;0,02792470;0,01102286;0,03042605;0,03564356;0,01131614;0,01138603;0,01099709;0,01161977;0,01209733;0,02041159;0,00879512;0,01546047;0,01526588;0,00573720;0,00535529;0,01859267;0,00742267;0,00432148;0,00774393;0,00681792;0,00604037;0,01121524;0,00679303;0,00436126
0;0;04/01/2025  13:45;0,02803531;0,01104329;0,03100780;0,03574424;0,01133091;0,01154750;0,01104248;0,01163411;0,01210081;0,02048390;0,00879735;0,01576102;0,01554471;0,00569274;0,00685429;0,01895095;0,00746463;0,00464531;0,00780261;0,00684425;0,00701804;0,01139962;0,00679911;0,00578963
0;0;04/01/2025  14:00;0,02783513;0,01095275;0,03215349;0,03549633;0,01124072;0,01188296;0,01100965;0,01153453;0,01211640;0,02034102;0,00872601;0,01628508;0,01519670;0,00566035;0,00717756;0,01850902;0,00735347;0,00549595;0,00776291;0,00675022;0,00716904;0,01115895;0,00672186;0,00590147
0;0;04/01/2025  14:15;0,02797639;0,01100905;0,03096281;0,03568565;0,01130424;0,01154322;0,01102596;0,01160617;0,01215672;0,02044746;0,00877689;0,01572027;0,01491276;0,00555533;0,00503765;0,01814153;0,00721151;0,00490885;0,00765085;0,00662639;0,00582831;0,01098439;0,00659801;0,00395533
0;0;04/01/2025  14:30;0,02830140;0,01116598;0,03102291;0,03611775;0,01146059;0,01154689;0,01119376;0,01176470;0,01196509;0,02070529;0,00888956;0,01576187;0,01554108;0,00569688;0,00704535;0,01895737;0,00746211;0,00492222;0,00790906;0,00683724;0,00713102;0,01140480;0,00680076;0,00589840
0;0;04/01/2025  14:45;0,02882818;0,01134701;0,03033528;0,03686492;0,01164990;0,01134407;0,01129103;0,01196246;0,01214235;0,02108972;0,00902860;0,01542058;0,01548634;0,00574216;0,00695958;0,01880394;0,00748424;0,00467331;0,00786142;0,00686436;0,00709886;0,01140013;0,00683878;0,00585862
0;0;04/01/2025  15:00;0,02794035;0,01099353;0,03041954;0,03565056;0,01128028;0,01138959;0,01100361;0,01157771;0,01208622;0,02042940;0,00874586;0,01547978;0,01490500;0,00551941;0,00484619;0,01811187;0,00719150;0,00428163;0,00764902;0,00660114;0,00579421;0,01097273;0,00657859;0,00387963
0;0;04/01/2025  15:15;0,02781195;0,01097923;0,03056199;0,03548131;0,01126599;0,01144979;0,01094045;0,01156214;0,01211644;0,02031645;0,00874435;0,01550519;0,01515447;0,00562113;0,00699400;0,01844516;0,00732422;0,00468309;0,00769776;0,00671845;0,00722788;0,01113953;0,00669159;0,00586277
0;0;04/01/2025  15:30;0,02795852;0,01101449;0,03021131;0,03566735;0,01130029;0,01132544;0,01100488;0,01160013;0,01211402;0,02042039;0,00877178;0,01528884;0,01512801;0,00561803;0,00636510;0,01841503;0,00730525;0,00452505;0,00772787;0,00671398;0,00677439;0,01113230;0,00668543;0,00528737
0;0;04/01/2025  15:45;0,02810791;0,01108140;0,03041140;0,03591670;0,01137455;0,01137990;0,01102092;0,01169175;0,01209547;0,02053392;0,00883163;0,01542589;0,01496336;0,00551640;0,00656418;0,01815020;0,00720690;0,00527787;0,00769276;0,00660944;0,00679934;0,01103878;0,00657957;0,00535187
0;0;04/01/2025  16:00;0,02894777;0,01140076;0,03086193;0,03699526;0,01170451;0,01147423;0,01133864;0,01202284;0,01212267;0,02118599;0,00907497;0,01563260;0,01574321;0,00572223;0,00704431;0,01913192;0,00753973;0,00530808;0,00791149;0,00691188;0,00718959;0,01156268;0,00687071;0,00584906
0;0;04/01/2025  16:15;0,02756671;0,01086084;0,03069843;0,03514405;0,01115642;0,01146426;0,01090108;0,01144448;0,01223344;0,02014353;0,00866439;0,01554415;0,01475919;0,00544474;0,00442614;0,01795206;0,00709609;0,00431529;0,00762904;0,00652057;0,00564835;0,01087065;0,00649620;0,00323382
0;0;04/01/2025  16:30;0,02795689;0,01103124;0,03073394;0,03567899;0,01132228;0,01149812;0,01098774;0,01162255;0,01212718;0,02042689;0,00877950;0,01555313;0,01516524;0,00554389;0,00707339;0,01842423;0,00727242;0,00468255;0,00771899;0,00666983;0,00731702;0,01115883;0,00663364;0,00585245
0;0;04/01/2025  16:45;0,02756621;0,01085106;0,03102621;0,03518192;0,01113415;0,01156163;0,01086167;0,01142785;0,01213749;0,02014016;0,00864081;0,01569267;0,01516006;0,00555130;0,00641863;0,01844436;0,00727226;0,00454282;0,00774873;0,00667606;0,00694455;0,01114140;0,00664237;0,00530127
0;0;04/01/2025  17:00;0,02801194;0,01101806;0,03036383;0,03576428;0,01129861;0,01141492;0,01100749;0,01160434;0,01212303;0,02047118;0,00876289;0,01541483;0,01508733;0,00555633;0,00653023;0,01834331;0,00726655;0,00455494;0,00770997;0,00665920;0,00700316;0,01110149;0,00662684;0,00541456
0;0;04/01/2025  17:15;0,02813767;0,01111769;0,02995277;0,03592233;0,01140654;0,01132832;0,01101635;0,01171265;0,01207395;0,02054575;0,00884254;0,01515359;0,01493463;0,00548517;0,00707439;0,01810332;0,00718373;0,00469394;0,00766763;0,00659023;0,00736750;0,01102767;0,00656227;0,00586476
0;0;04/01/2025  17:30;0,02852773;0,01126177;0,03045823;0,03646718;0,01156012;0,01146846;0,01118230;0,01186549;0,01218930;0,02085993;0,00896818;0,01542304;0,01537198;0,00566719;0,00470654;0,01866934;0,00741633;0,00498266;0,00781655;0,00679598;0,00584378;0,01133172;0,00677042;0,00320813
0;0;04/01/2025  17:45;0,02738560;0,01081205;0,03103448;0,03491682;0,01109726;0,01157065;0,01077177;0,01138716;0,01217552;0,01997558;0,00861431;0,01572846;0,01496643;0,00551845;0,00720771;0,01820942;0,00722413;0,00526003;0,00767970;0,00661766;0,00741308;0,01102255;0,00658636;0,00592052
0;0;04/01/2025  18:00;0,02715402;0,01067943;0,03006747;0,03457378;0,01095194;0,01134674;0,01069490;0,01124430;0,01220127;0,01979681;0,00850012;0,01526381;0,01488420;0,00543669;0,00701477;0,01811641;0,00713944;0,00480144;0,00760167;0,00654906;0,00733635;0,01094365;0,00650870;0,00568183
0;0;04/01/2025  18:15;0,02739176;0,01079445;0,03125658;0,03494145;0,01108464;0,01168623;0,01078334;0,01137903;0,01224530;0,01999456;0,00860899;0,01578529;0,01483885;0,00550348;0,00610853;0,01803707;0,00716566;0,00448941;0,00762106;0,00658780;0,00682391;0,01093464;0,00656260;0,00488686
0;0;04/01/2025  18:30;0,02720585;0,01069228;0,03136331;0,03465864;0,01098585;0,01166383;0,01070016;0,01127944;0,01223176;0,01983920;0,00852372;0,01582325;0,01504745;0,00554149;0,00712543;0,01832109;0,00724326;0,00469807;0,00760748;0,00665836;0,00745713;0,01105889;0,00662025;0,00586090
0;0;04/01/2025  18:45;0,02804592;0,01103561;0,03172874;0,03580639;0,01132544;0,01182702;0,01101255;0,01163096;0,01243769;0,02048280;0,00878985;0,01605134;0,01499203;0,00552887;0,00551354;0,01818883;0,00722698;0,00432558;0,00773480;0,00662340;0,00647013;0,01106035;0,00659967;0,00433420
0;0;04/01/2025  19:00;0,02739766;0,01082296;0,03126770;0,03492745;0,01109288;0,01167761;0,01079070;0,01139679;0,01234540;0,01998592;0,00863193;0,01583680;0,01454097;0,00543641;0,00714566;0,01766118;0,00704781;0,00469617;0,00753819;0,00647774;0,00752012;0,01072646;0,00645932;0,00588885
0;0;04/01/2025  19:15;0,02758870;0,01087480;0,03043618;0,03519481;0,01115856;0,01148339;0,01085729;0,01145193;0,01219633;0,02015005;0,00866050;0,01542112;0,01462007;0,00543914;0,00736710;0,01774638;0,00707229;0,00555779;0,00750941;0,00649613;0,00754595;0,01077449;0,00647566;0,00588745
0;0;04/01/2025  19:30;0,02831511;0,01117141;0,03039029;0,03619229;0,01147667;0,01145801;0,01113004;0,01177977;0,01215919;0,02070544;0,00889804;0,01535550;0,01529348;0,00562745;0,00504752;0,01858627;0,00736449;0,00488309;0,00783524;0,00675458;0,00616758;0,01126453;0,00672225;0,00369123
0;0;04/01/2025  19:45;0,02804665;0,01106966;0,03145142;0,03579727;0,01136292;0,01178054;0,01104479;0,01165878;0,01247839;0,02048924;0,00882597;0,01591796;0,01485975;0,00552135;0,00719230;0,01804221;0,00718960;0,00490239;0,00768316;0,00659720;0,00755626;0,01096655;0,00657564;0,00581853
0;0;04/01/2025  20:00;0,02751159;0,01081013;0,03095685;0,03509978;0,01110749;0,01161270;0,01083066;0,01140417;0,01228310;0,02007880;0,00861088;0,01568005;0,01500360;0,00551562;0,00719716;0,01824103;0,00722402;0,00465530;0,00764415;0,00662057;0,00752606;0,01103804;0,00659220;0,00585713
0;0;04/01/2025  20:15;0,02776241;0,01093112;0,03069198;0,03541423;0,01122977;0,01152276;0,01094028;0,01152712;0,01221420;0,02027127;0,00870654;0,01551241;0,01506234;0,00553328;0,00445674;0,01832186;0,00723596;0,00421015;0,00770694;0,00663689;0,00594294;0,01108897;0,00660644;0,00321698
0;0;04/01/2025  20:30;0,02800599;0,01101604;0,03057520;0,03573528;0,01131377;0,01152802;0,01100467;0,01160646;0,01232273;0,02046095;0,00876852;0,01548417;0,01525840;0,00558501;0,00711037;0,01855578;0,00731605;0,00465527;0,00776189;0,00671554;0,00742984;0,01122094;0,00667292;0,00581877
0;0;04/01/2025  20:45;0,02706153;0,01065187;0,03025279;0,03446320;0,01093736;0,01138546;0,01065861;0,01121811;0,01213125;0,01973182;0,00848584;0,01531601;0,01486011;0,00548318;0,00713150;0,01809606;0,00715743;0,00465457;0,00753148;0,00656813;0,00745238;0,01091606;0,00653447;0,00585774
