Cuadricula;Peso;Fecha;f0;f1;f2;f3;f4;x0;x1;x2;x3;x4;phi_re_0_0;phi_im_0_0;phi_re_0_1;phi_im_0_1;phi_re_0_2;phi_im_0_2;phi_re_0_3;phi_im_0_3;phi_re_0_4;phi_im_0_4;phi_re_0_5;phi_im_0_5;phi_re_0_6;phi_im_0_6;phi_re_0_7;phi_im_0_7;phi_re_0_8;phi_im_0_8;phi_re_0_9;phi_im_0_9;phi_re_0_10;phi_im_0_10;phi_re_0_11;phi_im_0_11;phi_re_0_12;phi_im_0_12;phi_re_0_13;phi_im_0_13;phi_re_0_14;phi_im_0_14;phi_re_0_15;phi_im_0_15;phi_re_1_0;phi_im_1_0;phi_re_1_1;phi_im_1_1;phi_re_1_2;phi_im_1_2;phi_re_1_3;phi_im_1_3;phi_re_1_4;phi_im_1_4;phi_re_1_5;phi_im_1_5;phi_re_1_6;phi_im_1_6;phi_re_1_7;phi_im_1_7;phi_re_1_8;phi_im_1_8;phi_re_1_9;phi_im_1_9;phi_re_1_10;phi_im_1_10;phi_re_1_11;phi_im_1_11;phi_re_1_12;phi_im_1_12;phi_re_1_13;phi_im_1_13;phi_re_1_14;phi_im_1_14;phi_re_1_15;phi_im_1_15;phi_re_2_0;phi_im_2_0;phi_re_2_1;phi_im_2_1;phi_re_2_2;phi_im_2_2;phi_re_2_3;phi_im_2_3;phi_re_2_4;phi_im_2_4;phi_re_2_5;phi_im_2_5;phi_re_2_6;phi_im_2_6;phi_re_2_7;phi_im_2_7;phi_re_2_8;phi_im_2_8;phi_re_2_9;phi_im_2_9;phi_re_2_10;phi_im_2_10;phi_re_2_11;phi_im_2_11;phi_re_2_12;phi_im_2_12;phi_re_2_13;phi_im_2_13;phi_re_2_14;phi_im_2_14;phi_re_2_15;phi_im_2_15;phi_re_3_0;phi_im_3_0;phi_re_3_1;phi_im_3_1;phi_re_3_2;phi_im_3_2;phi_re_3_3;phi_im_3_3;phi_re_3_4;phi_im_3_4;phi_re_3_5;phi_im_3_5;phi_re_3_6;phi_im_3_6;phi_re_3_7;phi_im_3_7;phi_re_3_8;phi_im_3_8;phi_re_3_9;phi_im_3_9;phi_re_3_10;phi_im_3_10;phi_re_3_11;phi_im_3_11;phi_re_3_12;phi_im_3_12;phi_re_3_13;phi_im_3_13;phi_re_3_14;phi_im_3_14;phi_re_3_15;phi_im_3_15;phi_re_4_0;phi_im_4_0;phi_re_4_1;phi_im_4_1;phi_re_4_2;phi_im_4_2;phi_re_4_3;phi_im_4_3;phi_re_4_4;phi_im_4_4;phi_re_4_5;phi_im_4_5;phi_re_4_6;phi_im_4_6;phi_re_4_7;phi_im_4_7;phi_re_4_8;phi_im_4_8;phi_re_4_9;phi_im_4_9;phi_re_4_10;phi_im_4_10;phi_re_4_11;phi_im_4_11;phi_re_4_12;phi_im_4_12;phi_re_4_13;phi_im_4_13;phi_re_4_14;phi_im_4_14;phi_re_4_15;phi_im_4_15
0;0;04/01/2025  10:45;3,80092977;6,86778678;6,86778678;13,38840823;14,48161782;0,01187359;0,05595100;0,05595100;0,00985199;0,01269851;-0,28820201;-0,06617991;-0,37462435;-0,08494525;-0,11690066;-0,02774823;-0,21550454;-0,05063876;-0,77871421;-0,18274008;-0,97360204;-0,22825218;-0,28445673;-0,06798881;-0,54156840;-0,12708524;0,10348959;0,02301893;0,10631874;0,02332539;0,11021203;0,02460636;0,07871083;0,01844558;0,23020807;0,05306917;0,33823122;0,07909291;0,30607576;0,07177865;0,29637592;0,06840467;0,36608945;-0,15290054;0,40663778;-0,08270656;0,24727740;-0,34248614;0,28891057;-0,19469466;0,18431315;-0,40196691;0,22491088;-0,39799890;0,27691264;-0,63665978;0,25979418;-0,56736532;0,20767150;-0,52784440;0,20742413;-0,54251953;0,21288575;-0,54579440;0,24312415;-0,54498793;0,54918909;-0,83569812;0,52918998;-0,80063440;0,53867597;-0,81703489;0,53739950;-0,81753616;0,36608945;-0,15290054;0,40663778;-0,08270656;0,24727740;-0,34248614;0,28891057;-0,19469466;0,18431315;-0,40196691;0,22491088;-0,39799890;0,27691264;-0,63665978;0,25979418;-0,56736532;0,20767150;-0,52784440;0,20742413;-0,54251953;0,21288575;-0,54579440;0,24312415;-0,54498793;0,54918909;-0,83569812;0,52918998;-0,80063440;0,53867597;-0,81703489;0,53739950;-0,81753616;-0,52080909;-0,55732591;-0,68807117;-0,72564321;-0,19010389;-0,21484190;-0,38159885;-0,42390421;0,22584117;0,24260668;0,25961897;0,29013459;0,11392434;0,10464182;0,17310451;0,17588378;0,20300346;0,22267393;0,21052782;0,22860232;0,21753134;0,23531451;0,15774197;0,17702080;-0,07812997;-0,07705010;-0,10720232;-0,10922103;-0,09659613;-0,09920193;-0,09747849;-0,09749446;0,32924813;0,94424344;0,25352327;0,96305090;0,48061321;0,60403389;0,36877440;0,72692094;-0,14141724;-0,30542194;-0,52682349;-0,57632544;0,63496539;0,26978745;0,23059938;-0,04317765;-0,33581263;-0,32744348;-0,33168023;-0,37236052;-0,30827418;-0,32189659;-0,25610089;-0,20761104;-0,09737656;-0,10043295;-0,04911767;-0,04647114;-0,03158507;-0,03943912;-0,08046888;-0,07284616
0;0;04/01/2025  11:00;3,79453993;6,19798094;8,51993973;13,38941830;14,38590244;0,01198242;0,03162461;0,00620139;0,00920033;0,00399284;-0,07223691;0,28579017;-0,09298498;0,37238719;-0,02950843;0,11624502;-0,14490133;0,16433757;-0,27094892;0,75153385;-0,24846282;0,96864143;-0,07375390;0,28324511;-0,13870912;0,53992873;0,02599277;-0,10295509;0,02595543;-0,10523295;0,02726572;-0,10994169;0,05032847;-0,06238443;0,07600251;-0,22472578;0,08589391;-0,33717280;0,07794470;-0,30442454;0,07504011;-0,29578969;-0,27829372;0,25885604;-0,29525737;0,27568497;-0,23475260;0,22211518;-0,27009181;-0,00439594;-0,38471603;0,30270838;-0,41299275;0,43463947;-0,37032188;0,36569106;-0,39130960;0,39838823;-0,45524059;0,48847239;-0,45515916;0,49161556;-0,45288004;0,49345110;-0,67962555;0,08244948;-0,77823426;0,62797407;-0,65552585;0,67682352;-0,65772786;0,68511796;-0,67133231;0,70475870;-0,01877297;0,08151083;0,07401608;-0,23195903;-0,21559964;0,72237303;-0,39275907;0,11373392;0,01045854;-0,01491943;0,14887848;-0,46206495;-0,29263480;0,95622428;-0,13529262;0,46269058;0,02345286;-0,10179642;0,01833066;-0,09464594;-0,00072284;-0,04190915;0,05786302;-0,02986955;-0,05210248;0,10792650;-0,05073989;0,16502971;-0,05881407;0,19103315;-0,03889436;0,12432014;0,58603246;-0,48653917;0,76525843;-0,64372318;0,22187931;-0,17730707;0,30025849;0,46449091;-0,30874694;0,11578745;-0,30069791;0,24394549;-0,11558344;0,10550901;-0,18737991;0,16188490;-0,23282497;0,18984069;-0,23933108;0,19678154;-0,24660441;0,20318301;-0,15064384;-0,17308671;0,09969349;-0,04801096;0,11615838;-0,10096192;0,10583757;-0,09078203;0,10428191;-0,09189428;-0,30747113;-0,30240262;-0,62816583;-0,49488105;0,35941397;0,14996687;0,08649661;-0,00245341;0,01701578;0,03108768;-0,40641491;-0,23427836;0,86783361;0,49685493;0,43353090;0,23750778;-0,09646478;0,02370127;-0,08738631;0,02686652;-0,04445571;0,05609186;-0,01712166;-0,09657968;-0,13700074;-0,20370663;-0,16460495;-0,13780733;-0,12486638;-0,11799735;-0,19235946;-0,15826673
0;0;04/01/2025  11:15;3,80675427;6,88334736;6,88334736;12,15200170;14,50816244;0,01492146;0,04569406;0,04569406;0,00542731;0,00788165;-0,28891144;-0,05672288;-0,37716542;-0,07384926;-0,11795728;-0,02306624;-0,12978459;-0,17389176;-0,76282006;-0,23578309;-0,97929056;-0,20245989;-0,28636847;-0,05960965;-0,54573243;-0,11183993;0,10347352;0,01896135;0,10661165;0,02041965;0,11124544;0,02102294;0,05110691;0,05984222;0,22558557;0,06725639;0,34149982;0,06845827;0,30760496;0,06185858;0,29807064;0,05900446;-0,30739042;-0,22457138;-0,17456011;-0,20502601;-0,59738252;-0,29128136;0,10124837;-0,41597597;-0,35983493;-0,25836710;-0,27838653;-0,16099666;-0,89787686;-0,41426276;-0,69537323;-0,32749683;-0,47026392;-0,26502885;-0,47871563;-0,26491988;-0,50565176;-0,26766176;0,06783530;-0,52665238;-0,75061561;-0,65329901;-0,83067432;-0,50755521;-0,85751978;-0,51445099;-0,83735492;-0,50869075;-0,30739042;-0,22457138;-0,17456011;-0,20502601;-0,59738252;-0,29128136;0,10124837;-0,41597597;-0,35983493;-0,25836710;-0,27838653;-0,16099666;-0,89787686;-0,41426276;-0,69537323;-0,32749683;-0,47026392;-0,26502885;-0,47871563;-0,26491988;-0,50565176;-0,26766176;0,06783530;-0,52665238;-0,75061561;-0,65329901;-0,83067432;-0,50755521;-0,85751978;-0,51445099;-0,83735492;-0,50869075;-0,04345439;0,36324559;0,06851000;0,68599560;-0,15258187;-0,23660525;0,34793187;-0,17709940;-0,02824734;0,35157833;0,16543038;0,68241320;-0,06233641;-0,13423169;0,01988563;0,16157165;0,15183416;0,39332632;0,15554776;0,39757352;0,13379615;0,35148144;-0,49180783;-0,09569352;-0,00727322;0,99997355;0,27895098;0,90950725;0,27477347;0,88707160;0,29456562;0,94525936;-0,67398147;-0,66775721;-0,54200741;-0,84037371;-0,71584918;-0,14922617;0,50991555;0,09084565;0,13780869;0,31029450;0,70600488;0,17758050;-0,72961159;0,28372286;-0,21886371;0,25566474;0,41315546;0,07607277;0,43657177;0,10775086;0,37539270;0,09553887;-0,20200618;0,16132056;0,17631658;0,00436082;0,10362631;-0,06976522;0,08152141;-0,05816462;0,14649167;-0,07643407
0;0;04/01/2025  11:30;3,79911542;6,25063866;8,54764680;13,38808297;14,36870660;0,01179876;0,02562153;0,00864180;0,00912129;0,00406502;0,07121096;-0,28547651;0,09116010;-0,37154225;0,02914057;-0,11621458;0,20356270;-0,07753055;0,26841317;-0,75235546;0,24420479;-0,96972368;0,07236959;-0,28332698;0,13558465;-0,54023550;-0,02445119;0,10275911;-0,02632576;0,10495931;-0,02658589;0,10986759;-0,07400414;0,02886459;-0,07948322;0,22306078;-0,08443043;0,33739078;-0,07674468;0,30517750;-0,07382635;0,29595397;0,26101181;-0,30758526;0,27479083;-0,32284471;0,21760267;-0,25766581;0,21006019;0,18286027;0,35148285;-0,28292025;0,38214101;-0,40996660;0,33716035;-0,38870926;0,36266202;-0,40494466;0,39643704;-0,51495157;0,39614946;-0,52027132;0,39985221;-0,51745741;0,52504512;0,40614748;0,73056170;-0,68284670;0,58056370;-0,75530781;0,58986929;-0,75938109;0,59532104;-0,77366351;-0,03639851;0,15742177;0,30101275;0,14805803;-0,71954523;0,16646062;0,14585049;-0,43498193;-0,00093053;-0,05158916;0,44570895;-0,11329069;-0,99076830;0,13556616;-0,48599226;0,05560773;0,08500578;-0,07043513;0,06955693;-0,06890370;0,01275636;-0,06730760;-0,02344175;0,08202677;-0,15074254;0,00147907;-0,18270163;0,04403694;-0,21955169;0,04376258;-0,15246047;0,03527532;-0,55952274;0,51554170;-0,73107153;0,68230083;-0,21152508;0,18828595;0,48092437;-0,26801005;0,30250281;-0,13192334;0,28703330;-0,25956769;0,11098804;-0,11192944;0,17919083;-0,17203554;0,22159929;-0,20120509;0,22779277;-0,20866692;0,23489070;-0,21590823;-0,19885656;0,11304623;-0,10123667;0,04730140;-0,11185629;0,10707365;-0,10172578;0,09661537;-0,10045922;0,09741683;-0,34883199;-0,13103458;-0,59274591;-0,40956872;0,14104786;0,42451105;0,18181396;-0,07939070;0,13825631;-0,00398726;-0,08460407;-0,49995262;0,55253032;0,83349280;0,33700704;0,36405835;0,01205289;-0,15732955;0,02191307;-0,15968685;0,04849404;-0,10998193;-0,06392389;0,13065653;-0,05260378;-0,25640033;-0,14126448;-0,18624189;-0,11583904;-0,15354832;-0,15574071;-0,21630681
0;0;04/01/2025  11:45;3,79724975;6,21892205;8,51680105;13,40385048;14,62770009;0,01350055;0,02889561;0,00518358;0,01069647;0,06241837;0,07185581;-0,28544882;0,09287635;-0,37200643;0,02929168;-0,11654415;0,21335196;-0,03816327;0,27223374;-0,75090125;0,25022647;-0,96818733;0,07405350;-0,28337932;0,13846479;-0,53935904;-0,02569367;0,10307880;-0,02661470;0,10551427;-0,02741706;0,10988110;-0,07846687;0,01612551;-0,08021821;0,22308861;-0,08625526;0,33733980;-0,07890047;0,30463023;-0,07534836;0,29525855;0,23429957;-0,30683697;0,24978203;-0,32194276;0,20330788;-0,26155697;0,16087664;0,21443777;0,36229770;-0,34628513;0,37880340;-0,48848000;0,32576464;-0,42533986;0,34973683;-0,45694342;0,36956469;-0,55437336;0,37252357;-0,56282697;0,37744968;-0,55417231;0,43876179;0,50804392;0,69212298;-0,72177959;0,53429130;-0,77587135;0,54054945;-0,78635652;0,54105183;-0,79239316;-0,04958870;0,06202607;0,12102303;-0,22129228;-0,43907738;0,61961536;0,00719522;-0,42036427;0,06071735;0,01312903;0,35746306;-0,38051486;-0,55838821;0,82957977;-0,23455065;0,41074603;0,04262869;-0,09140733;0,03724267;-0,08259476;0,00622417;-0,03494552;0,02838928;0,08147835;-0,10375880;0,07725138;-0,11770981;0,12901004;-0,13428518;0,15068229;-0,08868281;0,09799232;0,54773734;-0,52933798;0,71338514;-0,70077217;0,20798969;-0,19301366;-0,54048680;-0,06937928;-0,29847644;0,13989366;-0,28011906;0,26625435;-0,10672568;0,11566293;-0,17368123;0,17725502;-0,21657182;0,20749716;-0,22312677;0,21540505;-0,22981441;0,22237411;0,22485433;0,01085893;0,09788276;-0,05043536;0,10710298;-0,10980253;0,09720080;-0,09910707;0,09584114;-0,09967317;0,47447833;-0,61898880;0,54744448;-0,83684200;0,17343957;-0,17814005;-0,38077030;-0,11738197;-0,17862576;0,18485664;-0,12165352;0,24160213;-0,06674775;0,21801144;-0,08850203;0,23643156;-0,13758103;0,25001969;-0,15709507;0,25900995;-0,14613413;0,27047552;0,15659910;-0,00566431;0,04983415;-0,08273400;0,03076217;-0,12621389;0,02521000;-0,11104416;0,02823426;-0,11868162
0;0;04/01/2025  12:00;3,79672593;6,27130430;8,52104187;13,41344959;13,41344959;0,01301172;0,02397684;0,00476227;0,00947176;0,00947176;0,07114551;-0,28534588;0,09271516;-0,37187097;0,02988369;-0,11633599;0,21360189;-0,03933448;0,27125880;-0,75216111;0,24918675;-0,96845545;0,07411256;-0,28349470;0,13845403;-0,53995389;-0,02498715;0,10336143;-0,02624882;0,10566261;-0,02669554;0,11009545;-0,07790584;0,01456522;-0,07975345;0,22338387;-0,08573882;0,33764995;-0,07845284;0,30520514;-0,07461399;0,29519796;-0,23077739;0,31854942;-0,24350246;0,33954893;-0,20432772;0,27824409;-0,16024727;-0,22352356;-0,27970171;0,30939990;-0,28740632;0,43743650;-0,29761084;0,41246521;-0,29892382;0,43392144;-0,35639861;0,52020308;-0,36659170;0,52996798;-0,35940458;0,53161397;-0,40364573;-0,50803010;-0,70111367;0,71304953;-0,55034609;0,77963405;-0,55804336;0,78376252;-0,56436173;0,80277306;0,02868502;-0,07201245;-0,16597230;0,19916492;0,45177104;-0,60480394;-0,01338891;0,41646548;-0,03451897;-0,00137992;-0,33453599;0,37395721;0,59803104;-0,80147294;0,26923550;-0,39692703;-0,04764129;0,07913683;-0,04121496;0,06738807;-0,01019663;0,02723117;-0,00936165;-0,08013671;0,10106543;-0,07576873;0,11550653;-0,13014965;0,13327328;-0,15229957;0,09111961;-0,09921767;-0,53282434;0,54617508;-0,69319059;0,72075434;-0,20405073;0,20172797;0,54601679;0,05544721;0,29427872;-0,14812447;0,27453489;-0,27684547;0,10040806;-0,11384275;0,16724250;-0,17948398;0,21150631;-0,20815098;0,21733523;-0,21579791;0,22394325;-0,22303911;-0,22160102;-0,02640589;-0,09539984;0,05080063;-0,10418548;0,11044893;-0,09484020;0,09952839;-0,09311196;0,09993367;-0,53282434;0,54617508;-0,69319059;0,72075434;-0,20405073;0,20172797;0,54601679;0,05544721;0,29427872;-0,14812447;0,27453489;-0,27684547;0,10040806;-0,11384275;0,16724250;-0,17948398;0,21150631;-0,20815098;0,21733523;-0,21579791;0,22394325;-0,22303911;-0,22160102;-0,02640589;-0,09539984;0,05080063;-0,10418548;0,11044893;-0,09484020;0,09952839;-0,09311196;0,09993367
0;0;04/01/2025  12:15;3,80412329;6,24417957;8,51878388;12,10990145;13,40192218;0,01399614;0,02817215;0,00531844;0,00305619;0,00943905;0,07177527;-0,28565384;0,09274762;-0,37206030;0,02950524;-0,11650284;0,21281091;-0,03809737;0,27267797;-0,74997501;0,25020626;-0,96819256;0,07424821;-0,28375793;0,13906101;-0,53955892;-0,02496509;0,10285518;-0,02511713;0,10555986;-0,02662693;0,10996572;-0,07790823;0,01489530;-0,08024303;0,22262175;-0,08658601;0,33735116;-0,07769116;0,30511365;-0,07506787;0,29507893;0,27248604;-0,28635253;0,29057154;-0,30371648;0,23057631;-0,25077120;0,13334302;0,23888301;0,34384823;-0,29532640;0,36372751;-0,42394327;0,34801331;-0,37606841;0,35872405;-0,40522597;0,42569428;-0,48859769;0,42230038;-0,49631310;0,42576645;-0,49197552;0,34913575;0,55897066;0,78343075;-0,62147909;0,63838495;-0,69655059;0,64574700;-0,70446397;0,65297870;-0,72391266;-0,06410749;0,03664781;0,25272781;-0,06542990;-0,71308677;0,21420686;0,25443997;-0,31943357;0,01578753;0,02013337;0,47452436;-0,10106190;-0,95752622;0,28834620;-0,45309917;0,15607018;0,08862158;-0,03731959;0,07682426;-0,02964367;0,02949288;-0,01400433;-0,04065454;0,06740187;-0,13030243;0,00027963;-0,16575344;0,03452713;-0,19477790;0,03766540;-0,13307907;0,02012159;-0,04728035;-0,11904213;0,01930147;-0,01377731;-0,14298200;-0,39879022;-0,06639470;0,32375954;-0,08436256;0,60693374;0,19477002;0,98084894;-0,08634970;0,01944122;0,01463950;0,37677727;0,11017497;0,57326712;0,11058756;0,57101016;0,09791902;0,54981270;0,15174526;-0,52729366;-0,08193467;0,92828444;0,18176183;0,82249553;0,17015286;0,81260422;0,19972388;0,86605324;0,54266798;-0,53541065;0,70710858;-0,70710498;0,20739061;-0,19705987;-0,54491338;-0,06425465;-0,29820205;0,14218403;-0,27987231;0,27122284;-0,10401339;0,11272250;-0,17182675;0,17689066;-0,21580213;0,20513764;-0,22162249;0,21273880;-0,22836726;0,21980262;0,22301803;0,02938082;0,09710143;-0,04986835;0,10630358;-0,10946952;0,09697555;-0,09855279;0,09493400;-0,09926530
0;0;04/01/2025  12:30;3,79975764;6,25088250;8,52036735;13,38606614;14,38866536;0,01166539;0,02762580;0,00462620;0,00944916;0,00488939;0,06443890;-0,28766346;0,08312528;-0,37497001;0,02689558;-0,11745844;0,21228671;-0,04382487;0,32189135;-0,72987432;0,22251341;-0,97492963;0,06625321;-0,28607684;0,12288368;-0,54293093;-0,02296118;0,10346576;-0,02343164;0,10645990;-0,02423131;0,11087801;-0,07785732;0,01622028;-0,07397554;0,22458080;-0,07725523;0,33890987;-0,06976050;0,30629833;-0,06673321;0,29754469;0,26573391;0,28557563;0,28491051;0,30642598;0,23492444;0,24452308;-0,23936826;0,12822346;0,21780403;0,35756271;0,37732795;0,33846822;0,36250567;0,35448434;0,37749852;0,35639054;0,48557504;0,42952245;0,48962250;0,43606352;0,48566994;0,43330242;-0,56823307;0,32888944;0,61139735;0,79132375;0,69784118;0,65866880;0,70426176;0,66663872;0,71782948;0,67629494;0,05690913;-0,07088733;-0,09199962;0,22103136;0,39349122;-0,65083823;0,01145954;0,41273739;-0,04499105;-0,01446183;-0,31528383;0,39581927;0,49811492;-0,86711103;0,20549819;-0,42433511;-0,05015274;0,09760970;-0,04386566;0,08569687;-0,01734698;0,04036852;-0,01685561;-0,07791315;0,09412280;-0,07975992;0,10946814;-0,13219743;0,12034903;-0,15976711;0,08413675;-0,10180457;0,54243274;-0,53373007;0,70798501;-0,70622746;0,20594526;-0,19457851;-0,54348038;-0,06228900;-0,32747142;0,03544708;-0,27945624;0,26830525;-0,10631828;0,11595942;-0,17303366;0,17799699;-0,21518859;0,20900070;-0,22134385;0,21624647;-0,22790949;0,22381359;0,22641989;0,02629549;0,09890025;-0,05139273;0,10753276;-0,11096872;0,09788665;-0,10016316;0,09625919;-0,10110784;0,32990913;0,05910872;0,70623118;0,12386948;-0,39928789;-0,09404299;-0,00321231;0,05060116;-0,06254056;0,00622424;0,39945972;0,16147594;-0,97999961;-0,19899939;-0,50747008;-0,06844387;0,07058219;0,00817872;0,06650498;0,01266089;0,00923386;-0,00196028;-0,02196503;-0,07836435;0,20426229;0,15595058;0,22209902;0,05572690;0,17732911;0,05112594;0,25169895;0,06370837
0;0;04/01/2025  12:45;3,79930187;6,22856905;9,02069911;12,12329437;14,35276283;0,01147415;0,03052549;0,00609599;0,00309868;0,00629820;0,06409012;-0,28802654;0,08334826;-0,37479202;0,03758411;-0,11451043;0,21319653;-0,04412606;0,32027259;-0,73063333;0,22097458;-0,97527957;0,06571308;-0,28644520;0,12282810;-0,54424806;-0,02314619;0,10400271;-0,02361123;0,10643812;-0,02472895;0,11071602;-0,07823408;0,01582757;-0,07397376;0,22462809;-0,07647023;0,33982498;-0,06998227;0,30746066;-0,06692085;0,29762743;-0,27998223;0,29426401;-0,33138030;0,29122616;-0,22012115;0,28018315;-0,16805083;-0,25678078;-0,38948164;0,16850095;-0,43965043;0,29702151;-0,27661959;0,43170471;-0,34261476;0,38958186;-0,43733401;0,47421373;-0,43571252;0,48190922;-0,43259601;0,48052539;-0,33587909;-0,55346486;-0,78031053;0,62539226;-0,64443280;0,71461233;-0,64679114;0,71310455;-0,65610670;0,73185630;0,15062204;-0,01549891;-0,05830791;-0,01973589;0,58292512;0,17292137;-0,34392382;0,27790317;0,19761586;0,15928029;-0,01356446;0,01352738;0,98747446;0,15777894;0,64236493;0,10371317;0,08911615;0,02574104;0,09678314;0,02814082;0,13025416;0,02931890;-0,11272657;-0,03533926;0,61120879;0,29261137;0,65946454;0,15205861;0,67935537;0,15890704;0,64138587;0,15321869;0,01427224;0,08277603;0,17626801;0,24655475;-0,17124075;-0,35876743;0,08533883;0,23299999;-0,09640673;0,53759821;0,43061865;0,80379819;-0,16695137;0,03387413;0,05992177;0,32249577;0,29196282;0,52544819;0,29503261;0,53444984;0,26432441;0,50166185;0,01364775;-0,59006540;0,21752774;0,97605414;0,46020606;0,79727678;0,45448874;0,79521956;0,49315293;0,82602453;-0,34830794;0,11420154;-0,72515057;0,07901096;0,30606363;0,30446120;0,13819537;-0,11832902;0,12049937;-0,04203087;-0,37181661;-0,24369073;0,97918997;0,20294579;0,51628478;0,04179757;-0,04058684;-0,07741518;-0,03567060;-0,08263664;0,01683437;-0,06741141;-0,04096691;0,08899091;-0,21597785;-0,14360335;-0,23538830;-0,03639216;-0,19067405;-0,02995385;-0,26713645;-0,05092415
0;0;04/01/2025  13:00;3,79374086;6,27308166;8,51545826;13,39625793;14,37382349;0,01519018;0,02410734;0,00587433;0,00912014;0,00664179;-0,29115783;-0,04984688;-0,37831797;-0,06544101;-0,11557189;-0,03209699;-0,05441136;-0,21072877;-0,74349117;-0,28946558;-0,98380802;-0,17922551;-0,28750252;-0,05359570;-0,54822418;-0,10020718;0,10473286;0,01728181;0,10774080;0,01766148;0,11198642;0,01916951;0,02051469;0,07679647;0,22745811;0,06366820;0,34306446;0,06149483;0,30976916;0,05583890;0,30072114;0,05373043;-0,25241400;0,31073240;-0,26200355;0,34020927;-0,25257778;0,23164538;-0,15341285;-0,23091143;-0,32360566;0,23984516;-0,29857612;0,39095417;-0,30749652;0,39920736;-0,31000345;0,40657864;-0,37920023;0,51428642;-0,38439732;0,52234954;-0,38030372;0,51899880;-0,38660865;-0,52863952;-0,72119181;0,69273543;-0,57901781;0,77068949;-0,59024926;0,77932847;-0,58753958;0,78821601;0,06575201;-0,07242038;-0,09230510;0,21711386;0,53328337;-0,54114817;0,00260849;0,41654824;-0,04101867;-0,01500294;-0,32014223;0,37725819;0,51379398;-0,85791360;0,21734713;-0,42252823;-0,04726383;0,09410975;-0,03735398;0,08521744;-0,01560123;0,03747162;-0,02245756;-0,07686225;0,09465966;-0,07328343;0,11331116;-0,12689954;0,12696958;-0,15379533;0,09299404;-0,09720618;0,53246853;-0,54408453;0,69458794;-0,71940780;0,25522269;-0,12045963;-0,54524619;-0,05352719;-0,32623882;0,04131440;-0,27365576;0,27292516;-0,10437157;0,11834945;-0,16977530;0,18123128;-0,21117265;0,21293883;-0,21692230;0,22090962;-0,22371422;0,22824809;0,22693392;0,02236187;0,09775618;-0,05268119;0,10563715;-0,11268853;0,09606687;-0,10112470;0,09452822;-0,10224118;0,45292499;0,26408469;0,71953456;0,57814711;0,03410200;-0,37200741;-0,12600380;-0,14978694;-0,11818464;-0,09955733;0,03273035;0,39835986;-0,55286575;-0,83327034;-0,36239276;-0,40227370;-0,03031129;0,07722606;-0,04447792;0,06704005;-0,06599935;0,02386331;0,07590803;-0,02674476;0,05357497;0,27462719;0,15472446;0,21042476;0,12318438;0,17157592;0,15995189;0,23245882
